scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
45,3.2149366060005975,1.0,1.9524490075497252,0.9990000128746033,4.019370070846533,0.9990000128746033,,,,,,,1.557915553435868,1.0,2.374690631760881,1.0,1.641320566913774,1.0,0.9883138110239413,0.996999979019165,3.66366234883258,0.9459999799728394,10.269464310006818,0.9470000267028809,2.6407707456585436,0.996999979019165,1.8766867678891397,0.9869999885559082,1.6456321086137558,0.9950000047683716
46,4.040883167589329,1.0,0.7643392738719884,1.0,2.193857638041912,0.9990000128746033,,,,,,,3.85416359818049,1.0,1.8096609081234925,1.0,2.3539288330652464,1.0,4.199491828911638,0.9980000257492065,1.322246987595405,0.9909999966621399,2.727568722334136,0.9670000076293945,2.1500432853156113,0.996999979019165,4.7473127107023725,0.9929999709129333,3.379086292062022,0.9929999709129333
47,3.436691846730184,1.0,2.78852186071134,1.0,5.24583660456034,0.9990000128746033,,,,,,,1.5298468567649528,1.0,1.3582608930070434,1.0,2.461382801933252,1.0,0.6648090301992491,0.9990000128746033,1.0384854925912168,0.996999979019165,2.7187626627550485,0.9509999752044678,2.879686994610293,0.996999979019165,9.49216209082099,0.9919999837875366,1.9161824956670486,0.9909999966621399
48,2.553199330129843,1.0,1.1220657611962557,1.0,2.2278440152381034,0.9980000257492065,,,,,,,2.3262102293107896,1.0,3.0836228866823165,1.0,1.5710161881046116,1.0,5.999421176871603,0.9940000176429749,5.392105489364725,0.9620000123977661,7.456075363584373,0.953000009059906,6.68452222119347,0.9959999918937683,4.20345440600007,0.9869999885559082,6.175276817469914,0.9879999756813049
49,2.347651768636107,1.0,2.6099444744707743,1.0,1.0498399023700336,0.9980000257492065,,,,,,,2.647243162446669,1.0,0.9220523091770761,1.0,1.3246982931692066,1.0,5.653386689108716,0.9139999747276306,4.345209333361869,0.9449999928474426,2.7532447649212557,0.7749999761581421,3.6714470806036514,0.9929999709129333,5.483921083190411,0.9739999771118164,5.965840673259713,0.9919999837875366
50,1.227649249572654,1.0,4.747714062020335,1.0,2.908658782760361,0.9980000257492065,,,,,,,3.344557593256575,0.9959999918937683,3.184041799927366,0.996999979019165,5.518680814163766,1.0,31.185091150794136,0.8989999890327454,17.242804000859433,0.925000011920929,7.244661526834437,0.781000018119812,0.19090733079844527,0.9929999709129333,10.997612880759858,0.9649999737739563,3.7595424998725164,0.984000027179718
51,4.686567242840911,1.0,2.5862550302881657,1.0,5.703191318250255,0.9980000257492065,,,,,,,2.2280938138418223,0.9959999918937683,1.7980046559828726,0.9990000128746033,2.411290902833834,1.0,4.486186302137294,0.6830000281333923,0.47724544232976324,0.9300000071525574,1.2739475211444389,0.8169999718666077,0.2080852956765631,0.9909999966621399,2.9579018539079454,0.9319999814033508,4.393548701573766,0.9800000190734863
52,1.7868979465769754,1.0,2.672498395681737,1.0,0.9078568034174247,0.9980000257492065,2.8743388379233683,0.8109999895095825,1.6003681892647035,0.9990000128746033,2.330626733929097,0.9990000128746033,4.137698621095126,0.9760000109672546,2.020838417304074,0.7229999899864197,1.9072433341710882,0.4790000021457672,265.8057086109798,0.03999999910593033,4.980204022193518,0.03200000151991844,2.2661742935901903,0.14499999582767487,,,,,,
53,4.732879203286264,1.0,3.714954665283627,1.0,4.119258329888173,0.9980000257492065,,,,,,,0.7114867176578388,1.0,3.911355257394096,1.0,1.3712912946290847,1.0,5.019754228607716,0.9359999895095825,3.583238332588748,0.8169999718666077,7.60938664819049,0.6639999747276306,3.566508266312723,0.9890000224113464,2.2762193090648695,0.9490000009536743,3.9890719418379694,0.9860000014305115
54,1.8911277918793863,1.0,1.8647511626843785,1.0,2.845315626299544,0.9990000128746033,,,,,,,3.4992300970219308,1.0,1.2822656820402745,1.0,4.378499733249075,1.0,4.547999141529442,0.9390000104904175,3.5159297099490234,0.8759999871253967,10.534223693847025,0.8360000252723694,0.9771621392092666,0.9919999837875366,2.1700092652261094,0.9549999833106995,0.4392939385041869,0.9819999933242798
55,1.1703387686313413,1.0,2.905971212054704,1.0,2.842001327238913,0.9990000128746033,,,,,,,1.0607796737145236,1.0,2.04942475683373,1.0,0.9518333915214651,1.0,0.8221922427944296,0.9940000176429749,9.216935558021845,0.8970000147819519,11.989295190456797,0.8410000205039978,2.8690650289745454,0.9929999709129333,4.020433051396617,0.9570000171661377,1.25494673913294,0.9819999933242798
56,4.372584553291081,1.0,0.3328906307692412,1.0,2.6956674272165517,0.9990000128746033,,,,,,,3.687270344278376,1.0,1.1145468757679782,1.0,0.601024509320144,1.0,1.7521433302194382,0.9950000047683716,2.067907381736041,0.9819999933242798,2.8583688858976766,0.9309999942779541,2.443173264232701,0.9950000047683716,6.591704278049736,0.9520000219345093,4.655967639408595,0.9860000014305115
57,2.2797793847772296,1.0,3.296954226193046,1.0,1.8672934074583407,1.0,,,,,,,2.01550565841759,1.0,2.2665452856178243,1.0,3.3547541291711456,1.0,1.4897636622171682,0.9980000257492065,5.498990437045415,0.9869999885559082,4.676670907423196,0.953000009059906,1.9468030869562294,0.9940000176429749,3.1598004624022296,0.953000009059906,3.45234369523876,0.984000027179718
58,1.67049384859419,1.0,2.8244683207089785,1.0,2.890693687786091,1.0,,,,,,,1.7090201601707096,1.0,0.7014861225364643,1.0,2.9865864074648623,1.0,0.4229428690612821,0.9990000128746033,0.7716520451545521,0.9909999966621399,1.2593951129751702,0.972000002861023,5.64253907353109,0.9940000176429749,7.982656004438829,0.9660000205039978,3.0198113910722557,0.984000027179718
