scorer,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan
individuals,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,tail,tail,head,head,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
47,2.177192449185879,1.0,2.5922722200032315,0.9990000128746033,1.691675281616463,1.0,2.4791401175487304,1.0,3.772409963075174,1.0,5.828408224843801,1.0,6.43309375062809,1.0,5.412279873294316,0.9900000095367432,4.156488426734435,0.875,2.6421729392795785,0.9869999885559082,3.2039357326808005,0.9980000257492065,3.0941608239121,0.9929999709129333,0.9752218207504766,0.9950000047683716
48,1.4164639632593519,1.0,1.58031709288427,1.0,1.6066516148673702,1.0,3.362980699738758,1.0,2.239139899743744,1.0,3.2687684069576135,1.0,2.2001502002444027,1.0,7.641993899602602,0.9950000047683716,4.322898395322064,0.8820000290870667,2.0404894013583132,0.9879999756813049,5.119129885885103,0.996999979019165,3.568912290523109,0.9919999837875366,4.274540363744879,0.9950000047683716
49,1.9635052811393339,1.0,2.5248120334155697,0.9990000128746033,0.5370016723542884,1.0,2.855022513218516,1.0,1.7769260614233267,1.0,1.5267672289010508,1.0,2.3543217578487186,1.0,3.2372702628097962,0.9890000224113464,9.881376328139716,0.8539999723434448,6.137082270874702,0.972000002861023,4.219091605766091,0.9980000257492065,4.509335169977644,0.9909999966621399,2.1162987188265863,0.9950000047683716
50,1.0838356478686315,1.0,2.452970630026737,0.9990000128746033,1.9643152278263132,1.0,0.3667757179847055,1.0,0.6404231759520166,1.0,3.277248370724388,1.0,1.5476762998274425,1.0,3.774043880992899,0.9789999723434448,2.3646887809802783,0.9399999976158142,3.108285080850707,0.9810000061988831,3.9374815456041112,0.9980000257492065,4.571537671886712,0.9909999966621399,1.6235848584172798,0.9950000047683716
51,1.7675362377948896,1.0,1.291326180971007,0.9990000128746033,1.6653748848614929,1.0,1.0826295169971172,1.0,1.351987428704843,1.0,0.8379361531339216,1.0,6.011305088718918,1.0,4.470428930429822,0.9750000238418579,16.09238551534525,0.8880000114440918,0.8168155402189059,0.9729999899864197,2.620650035887611,0.996999979019165,3.9225159554606877,0.9909999966621399,5.798777684171281,0.9950000047683716
52,4.151266900650317,1.0,2.85028604719495,0.9990000128746033,7.0819830332718094,1.0,1.5614981915809698,1.0,1.9298232977682133,1.0,1.7565242834618828,1.0,3.728328101680843,1.0,7.83202577094368,0.9829999804496765,24.838363880336647,0.9599999785423279,7.084991567508761,0.9760000109672546,5.093845264823287,0.9990000128746033,4.208030163887499,0.9919999837875366,2.565362251890601,0.9950000047683716
53,2.3541912311483855,1.0,0.3267255954106074,0.9990000128746033,1.7282970001444877,1.0,1.1754200304072198,1.0,0.18461707568190588,1.0,3.2744445130309243,1.0,1.3239376953018283,1.0,3.2675389537554875,0.9800000190734863,5.118706707608826,0.9610000252723694,2.5046783223750366,0.9810000061988831,3.1120594650863205,0.9990000128746033,0.9722811647493862,0.9919999837875366,2.696370772332754,0.9959999918937683
54,1.5496197662618936,1.0,1.568356707812798,0.9990000128746033,3.5878760782384824,1.0,1.388112735177869,1.0,1.198254141011266,1.0,2.8692727718962683,1.0,3.584266240955633,1.0,1.1335304966791728,0.984000027179718,3.2493961737231336,0.9419999718666077,8.516715271060251,0.9900000095367432,2.850698300928105,0.9990000128746033,4.71929869816243,0.9909999966621399,6.13105139604019,0.9959999918937683
55,2.036512864601004,1.0,2.125586507487751,1.0,1.7028077643344155,1.0,5.007586356314726,1.0,1.4477969678431233,1.0,1.7105716601478933,1.0,0.5999136352811618,1.0,0.6155858073953758,0.9589999914169312,0.917120119702891,0.9229999780654907,7.356664288598102,0.9549999833106995,4.357716338691933,0.9990000128746033,7.058446135942768,0.9919999837875366,3.730157490256435,0.9950000047683716
56,2.11997618778517,1.0,3.7840977110118788,1.0,6.269802163581341,0.9879999756813049,4.513870085043894,1.0,1.4545246012177235,1.0,4.217606705067539,1.0,1.5358136247782839,1.0,4.276801023648791,0.968999981880188,1.4213412096159286,0.9580000042915344,5.133165785790727,0.9459999799728394,1.9973147554915613,0.9990000128746033,4.697997820820141,0.9929999709129333,4.027514953353648,0.9950000047683716
